"List","Intersection","GeneCount"
"H_DEG_Lists","H2_H0_DEGs",970
"H_DEG_Lists","H5_H2_DEGs",1202
"H_DEG_Lists","H15_H5_DEGs",1570
"H_DEG_Lists","H30_H15_DEGs",1034
"H_DEG_Lists","H2_H0_DEGs&H5_H2_DEGs",863
"H_DEG_Lists","H2_H0_DEGs&H15_H5_DEGs",801
"H_DEG_Lists","H2_H0_DEGs&H30_H15_DEGs",546
"H_DEG_Lists","H5_H2_DEGs&H15_H5_DEGs",881
"H_DEG_Lists","H5_H2_DEGs&H30_H15_DEGs",593
"H_DEG_Lists","H15_H5_DEGs&H30_H15_DEGs",907
"H_DEG_Lists","H2_H0_DEGs&H5_H2_DEGs&H15_H5_DEGs",753
"H_DEG_Lists","H2_H0_DEGs&H5_H2_DEGs&H30_H15_DEGs",496
"H_DEG_Lists","H2_H0_DEGs&H15_H5_DEGs&H30_H15_DEGs",522
"H_DEG_Lists","H5_H2_DEGs&H15_H5_DEGs&H30_H15_DEGs",619
"H_DEG_Lists","H2_H0_DEGs&H5_H2_DEGs&H15_H5_DEGs&H30_H15_DEGs",561
"C_DEG_Lists","C2_C0_DEGs",1345
"C_DEG_Lists","C5_C2_DEGs",1091
"C_DEG_Lists","C15_C5_DEGs",1418
"C_DEG_Lists","C30_C15_DEGs",1112
"C_DEG_Lists","C2_C0_DEGs&C5_C2_DEGs",738
"C_DEG_Lists","C2_C0_DEGs&C15_C5_DEGs",631
"C_DEG_Lists","C2_C0_DEGs&C30_C15_DEGs",565
"C_DEG_Lists","C5_C2_DEGs&C15_C5_DEGs",634
"C_DEG_Lists","C5_C2_DEGs&C30_C15_DEGs",607
"C_DEG_Lists","C15_C5_DEGs&C30_C15_DEGs",877
"C_DEG_Lists","C2_C0_DEGs&C5_C2_DEGs&C15_C5_DEGs",467
"C_DEG_Lists","C2_C0_DEGs&C5_C2_DEGs&C30_C15_DEGs",426
"C_DEG_Lists","C2_C0_DEGs&C15_C5_DEGs&C30_C15_DEGs",516
"C_DEG_Lists","C5_C2_DEGs&C15_C5_DEGs&C30_C15_DEGs",572
"C_DEG_Lists","C2_C0_DEGs&C5_C2_DEGs&C15_C5_DEGs&C30_C15_DEGs",394
"HC_2_0_DEGs_Lists","H2_H0_DEGs",2916
"HC_2_0_DEGs_Lists","C2_C0_DEGs",2486
"HC_2_0_DEGs_Lists","H2_H0_DEGs&C2_C0_DEGs",2596
"HC_5_2_DEGs_Lists","H_DEGs",2717
"HC_5_2_DEGs_Lists","C_DEGs",1678
"HC_5_2_DEGs_Lists","H_DEGs&C_DEGs",3251
"HC_15_5_DEGs_Lists","H_DEGs",2937
"HC_15_5_DEGs_Lists","C_DEGs",1832
"HC_15_5_DEGs_Lists","H_DEGs&C_DEGs",3677
"HC_30_15_DEGs_Lists","H_DEGs",2475
"HC_30_15_DEGs_Lists","C_DEGs",2266
"HC_30_15_DEGs_Lists","H_DEGs&C_DEGs",2803
